PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Cabin_num,GroupId,people_in_group,Last_name,family_members,people_in_cabin,total_value_spent,spent_any,Alone,Private_cabin,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_NULL,Destination_NULL,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_NULL,Cabin_deck_T,Cabin_side_P,Cabin_side_S
0001_01,0,B/0/P,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,0,0001,1,Ofracculy,1.0,18.0,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0002_01,0,F/0/S,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,0,0002,1,Vines,4.0,18.0,692.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0003_01,0,A/0/S,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,0,0003,2,Susent,6.0,18.0,10334.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0003_02,0,A/0/S,33.0,0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,0,0003,2,Susent,6.0,18.0,4983.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0004_01,0,F/1/S,16.0,0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,1,0004,1,Santantines,6.0,15.0,1089.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0005_01,0,F/0/P,44.0,0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,0,0005,1,Hinetthews,7.0,18.0,774.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0006_01,0,F/2/S,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,2,0006,2,Jacostaffey,7.0,11.0,1584.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0006_02,1,G/0/S,28.0,0,0.0,0.0,0.0,0.0,,Candra Jacostaffey,1,0,0006,2,Jacostaffey,7.0,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0007_01,0,F/3/S,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,3,0007,1,Beston,5.0,16.0,1018.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0008_01,1,B/1/P,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,1,0008,3,Flatic,3.0,15.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0008_02,1,B/1/P,34.0,0,0.0,0.0,,0.0,0.0,Altardr Flatic,1,1,0008,3,Flatic,3.0,15.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
